timestamp,imu_linear_acc_x,imu_linear_acc_y,imu_linear_acc_z,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,odom_pos_x,odom_pos_y,odom_pos_z,odom_vel_x,odom_vel_y,odom_vel_z,pwm_0,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7
154.88,0.18566968319974597,-0.15390503460252777,9.80188785668905,-0.002343361884111632,0.0023966585862491073,0.0003086549457728127,3.830404877513427,2.79011491483516,-0.3996267372482671,0.8731091272721903,0.3132927149213903,-0.019026000928065723,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.9,0.19061505226901485,-0.1434833981666613,9.795351750383277,-0.0019793075075803883,0.0017092672622156639,0.0003085963863389737,3.8478457052804123,2.7963413224047935,-0.3995948277935151,0.8724210935154948,0.3096828779343525,-0.018895889923238516,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.92,0.19485600494693844,-0.13374767012558694,9.78920301183425,-0.001698940098330541,0.0011448772589700326,0.00030855308790737185,3.8652749765161882,2.8024999132876305,-0.3995644635445985,0.8718380298389097,0.3062882946567011,-0.01890971094588045,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.94,0.19850775702980156,-0.124649742640481,9.78390707065317,-0.0014869810265584222,0.0006953910161791473,0.0003085207945903723,3.8826945177163097,2.808594708227155,-0.39953801117385856,0.8713437304704579,0.30309416202502637,-0.019056040754879416,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.96,0.20166385158331146,-0.11614480572376087,9.779857391874629,-0.0013297204371313382,0.00035260747165485125,0.00030849651480085587,3.900105877189141,2.8146294544992445,-0.3995174881980342,0.8709247071143531,0.3000869138781167,-0.01931459184399088,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
154.98,0.20439923065910415,-0.1081911586633845,9.777344536858132,-0.0012152137897124859,0.0001079089460858045,0.0003084781248384662,3.9175103669513223,2.8206076480996893,-0.3995044091513283,0.8705697314534226,0.2972541009045057,-0.019657693636051278,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
155.0,0.20677308640258674,-0.10075006844969661,9.77653390162015,-0.0011332986241222587,-4.8092718654299176e-05,0.0003084640969500207,3.934909097547105,2.8265325538076636,-0.39949967390703706,0.8702694371004498,0.2945842807073543,-0.020052379174591694,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
155.02,0.20883157545392111,-0.09378563540849008,9.77745395315283,-0.0010754930094804952,-0.0001258441163763979,0.0003084533157053113,3.9523030070690144,2.8324072233427717,-0.39950350655744665,0.8700159751595942,0.29206691740586066,-0.020462901900552118,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
155.04,0.21065685125165676,-0.32742824527282227,9.779998933326135,-0.00248447396186314,-0.0001376050418866139,0.0003084483981200569,3.9696929289864307,2.83821397103987,-0.3995155017208127,0.8698029210633275,0.28866530566231474,-0.02085265647020177,1350.0,1376.0,1624.0,1650.0,1500.0,1500.0,1500.0,1500.0
155.06,0.21217814149266007,-0.30907533071306725,9.783958977087348,-0.004246197316576797,-9.517162276084352e-05,0.00030845300695720644,3.9870796714118764,2.8438864602090783,-0.3995347385554807,0.8696250551025517,0.2819475427402979,-0.02118094188610467,1359.0,1367.0,1633.0,1641.0,1500.0,1500.0,1500.0,1500.0
